*********,*********,*********
BRAND,NAME,INTENSITY
Sauvage,Parfum,4 out of 4
Sauvage,Eau de toilette,2 out of 4
Sauvage,Eau de parfum,3 out of 4
Sauvage,Very cool spray - fresh eau de toilette - 100% air spray,1 out of 4
Sauvage,After-shave lotion,1 out of 4
Sauvage,Black charcoal soap,1 out of 4
Sauvage,After-shave balm,1 out of 4
Sauvage,Shower gel,1 out of 4
Sauvage,Stick deodorant,1 out of 4
Sauvage,Spray deodorant,1 out of 4
Sauvage,Shaving gel,1 out of 4
Sauvage,All purpose moisturizer,1 out of 4
Dior Homme,Eau de toilette,3 out of 4
Dior Homme Intense,Eau de parfum intense,3 out of 4
Dior Homme Sport,Eau de toilette,2 out of 4
Dior Homme,Cologne,1 out of 4
Dior Homme Parfum,Parfum,4 out of 4
Dior Homme Original,Eau de toilette,2 out of 4
Dior Homme Sport,Very cool spray,2 out of 4
Dior Homme,Aftershave lotion,2 out of 4
Dior Homme,Aftershave balm,2 out of 4
Dior Homme,Shower gel,2 out of 4
Dior Homme,Deodorant stick,2 out of 4
Dior Homme,Spray deodorant,2 out of 4
Fahrenheit,Eau de toilette,3 out of 4
Fahrenheit,Parfum,4 out of 4
Fahrenheit,Cologne,2 out of 4
Fahrenheit,After-shave lotion,2 out of 4
Fahrenheit,Shower gel,2 out of 4
Fahrenheit,Alcohol-free stick deodorant,2 out of 4
Fahrenheit,Spray deodorant,2 out of 4
Eau Sauvage,Parfum,3 out of 4
Eau Sauvage Extrême,Eau de toilette intense,3 out of 4
Eau Sauvage,Eau de toilette,2 out of 4
Eau Sauvage,Cologne,1 out of 4
Eau Sauvage,After-shave lotion,1 out of 4
Eau Sauvage,After-shave balm,1 out of 4
Eau Sauvage,Shaving foam,1 out of 4
Eau Sauvage,Shaving cream,1 out of 4
Eau Sauvage,Shower gel,1 out of 4
Eau Sauvage,Alcohol-free stick deodorant,1 out of 4
Eau Sauvage,Spray deodorant,1 out of 4
Eau Sauvage,Soap,1 out of 4
Higher,Eau de toilette,2 out of 4
Higher Energy,Eau de toilette,1 out of 4
Dune Pour Homme,Eau de toilette,2 out of 4
Jules,Eau de toilette,3 out of 4
*********,*********,*********
BRAND,NAME,INTENSITY
J'adore,Eau de parfum,2 out of 4
J'adore,Eau de parfum roller-pearl,2 out of 4
J'adore,Eau de toilette roller-pearl,1 out of 4
J'adore,Eau de toilette,1 out of 4
J'adore,Absolu,3 out of 4
J'adore,In joy - eau de toilette,1 out of 4
J'adore,L'or,4 out of 4
J'adore,Touche de parfum,4 out of 4
J'adore,Extrait de parfum,4 out of 4
J'adore,hair mist - fragrance for the hair,4 out of 4
J'adore,Shower and bath oil,4 out of 4
J'adore,Lait sublime body milk,4 out of 4
J'adore,Huile divine,4 out of 4
J'adore,Body mist,4 out of 4
J'adore,Perfumed deodorant,4 out of 4
J'adore,Beautifying body creme,4 out of 4
J'adore,Dry silky body oil,4 out of 4
J'adore,Silky soap,4 out of 4
J'adore,Gelée d'or,4 out of 4
Miss Dior Rose N'Roses,Eau de toilette,1 out of 4
Miss Dior Blooming Bouquet,Eau de toilette,1 out of 4
Miss Dior,Blooming bouquet roller-pearl,1 out of 4
Miss Dior,Eau de toilette,1 out of 4
Miss Dior,Roller-pearl eau de toilette,1 out of 4
Miss Dior,Eau de parfum,2 out of 4
Miss Dior Absolutely Blooming,Eau de parfum,2 out of 4
Miss Dior,Absolutely blooming roller-pearl,2 out of 4
Miss Dior,Fresh rose body oil,2 out of 4
Miss Dior,Scented blooming powder,2 out of 4
Miss Dior,Silky body mist,2 out of 4
Miss Dior,Hair mist,2 out of 4
Miss Dior,Moisturizing body milk,2 out of 4
Miss Dior,Nourishing rose hand cream,2 out of 4
Miss Dior,Foaming shower gel,2 out of 4
Miss Dior,Perfumed deodorant,2 out of 4
Miss Dior,Fresh body creme,2 out of 4
Miss Dior,Blooming scented soap,2 out of 4
Miss Dior,Le parfum,3 out of 4
Miss Dior Original,Extrait de parfum,4 out of 4
Miss Dior,Esprit de parfum original,3 out of 4
Miss Dior,Eau de toilette originale,3 out of 4
JOY By Dior,Eau de parfum intense,4 out of 4
JOY By Dior,Eau de parfum,3 out of 4
JOY By Dior,Pearly bath soap,3 out of 4
JOY By Dior,Perfumed deodorant,3 out of 4
JOY By Dior,Foaming shower gel,3 out of 4
JOY By Dior,Moisturizing body lotion,3 out of 4
Hypnotic Poison,Hair mist,1 out of 4
Hypnotic Poison,Eau de toilette,3 out of 4
Hypnotic Poison,Roller-pearl eau de toilette,3 out of 4
Hypnotic Poison,Satine body lotion,3 out of 4
Hypnotic Poison,Deodorant spray,3 out of 4
Hypnotic Poison,Eau de parfum,4 out of 4
Poison Girl,Eau de parfum,3 out of 4
Poison Girl,Eau de toilette,2 out of 4
Poison Girl,Roller-pearl eau de toilette,2 out of 4
Poison Girl,Unexpected,2 out of 4
Poison Girl,Unexpected roller-pearl,2 out of 4
Pure Poison,Eau de parfum,2 out of 4
Poison,Extrait de parfum,4 out of 4
Poison,Eau de toilette,3 out of 4
Dior Addict,Eau de parfum,3 out of 4
Dior Addict,Eau de toilette,2 out of 4
Dior Addict,Eau fraîche,1 out of 4
Dune,Eau de toilette,2 out of 4
Dolce Vita,Eau de toilette,2 out of 4
Escale À Portofino,Eau de toilette,1 out of 4
Diorissimo,Extrait de parfum,4 out of 4
Diorissimo,Eau de parfum,3 out of 4
Diorissimo,Eau de toilette,2 out of 4
Dioressence,Eau de toilette,4 out of 4
Diorling,Eau de toilette,3 out of 4
Diorella,Eau de toilette,3 out of 4
Eau Fraîche,Eau de toilette,2 out of 4
Forever And Ever Dior,Eau de toilette,1 out of 4
